District Name,Assembly Constituency Number,Assembly Constituency Name
Nandurabar,1,Akkalkuwa (ST)
Nandurabar,2,Shahada (ST)
Nandurabar,3,Nandurbar (ST)
Nandurabar,4,Nawapur (ST)
Dhule,5,Sakri (ST)
Dhule,6,Dhule Rural
Dhule,7,Dhule City
Dhule,8,Sindhkheda
Dhule,9,Shirpur (ST)
Jalgaon,10,Chopda (ST)
Jalgaon,11,Raver
Jalgaon,12,Bhusawal (SC)
Jalgaon,13,Jalgaon City
Jalgaon,14,Jalgaon Rural
Jalgaon,15,Amalner
Jalgaon,16,Erandol
Jalgaon,17,Chalisgaon
Jalgaon,18,Pachora
Jalgaon,19,Jamner
Jalgaon,20,Muktainagar
Buldhana,21,Malkapur
Buldhana,22,Buldhana
Buldhana,23,Chikhli
Buldhana,24,Sindhkhed Raja
Buldhana,25,Mehkar (SC)
Buldhana,26,Khamgaon
Buldhana,27,Jalgaon (Jamod)
Akola,28,Akot
Akola,29,Balapur
Akola,30,Aakola West
Akola,31,Akola East
Akola,32,Murtizapur (SC)
Washim,33,Risod
Washim,34,Washim (SC)
Washim,35,Karanja
Amaravati,36,Dhamangaon Railway
Amaravati,37,Badnera
Amaravati,38,Amrawati
Amaravati,39,Teosa
Amaravati,40,Daryapur (SC)
Amaravati,41,Melghat (ST)
Amaravati,42,Achalpur
Amaravati,43,Morshi
Wardha,44,Arvi
Wardha,45,Deoli
Wardha,46,Hinganghat
Wardha,47,Wardha
Nagpur,48,Katol
Nagpur,49,Savner
Nagpur,50,Hingna
Nagpur,51,Umred (SC)
Nagpur,52,Nagpur South West
Nagpur,53,Nagpur South
Nagpur,54,Nagpur East
Nagpur,55,Nagpur Central
Nagpur,56,Nagpur West
Nagpur,57,Nagpur North (SC)
Nagpur,58,Kamthi
Nagpur,59,Ramtek
Bhandara,60,Tumsar
Bhandara,61,Bhandara (SC)
Bhandara,62,Sakoli
Gondiya,63,Arjuni Morgaon (SC)
Gondiya,64,Tirora
Gondiya,65,Gondia
Gondiya,66,Amgaon (ST)
Gadchiroli,67,Armori (ST)
Gadchiroli,68,Gadchiroli (ST)
Gadchiroli,69,Aheri (ST)
Chandrapur,70,Rajura
Chandrapur,71,Chandrapur (SC)
Chandrapur,72,Ballarpur
Chandrapur,73,Bramhapuri
Chandrapur,74,Chimur
Chandrapur,75,Warora
Yavatmal,76,Wani
Yavatmal,77,Ralegaon (ST)
Yavatmal,78,Yavatmal
Yavatmal,79,Digras
Yavatmal,80,Arni (ST)
Yavatmal,81,Pusad
Yavatmal,82,Umarkhed (SC)
Nanded,83,Kinwat
Nanded,84,Hadgaon
Nanded,85,Bhokar
Nanded,86,Nanded North
Nanded,87,Nanded South
Nanded,88,Loha
Nanded,89,Naigaon
Nanded,90,Deglur (SC)
Nanded,91,Mukhed
Hingoli,92,Basmath
Hingoli,93,Kalamnuri
Hingoli,94,Hingoli
Parbhani,95,Jintur
Parbhani,96,Parbhani
Parbhani,97,Gangakhed
Parbhani,98,Pathri
Jalna,99,Partur
Jalna,100,Gansavangi
Jalna,101,Jalna
Jalna,102,Badnapur (SC)
Jalna,103,Bhokardan
Aurangabad,104,Sillod
Aurangabad,105,Kannad
Aurangabad,106,Pholambari
Aurangabad,107,Aurangabad (Central)
Aurangabad,108,Aurangabad (West) (SC)
Aurangabad,109,Aurangbad (East)
Aurangabad,110,Paithan
Aurangabad,111,Gangapur
Aurangabad,112,Vaijapur
Nashik,113,Nandgaon
Nashik,114,Malegaon (Central)
Nashik,115,Malegaon (Outer)
Nashik,116,Baglan (ST)
Nashik,117,Kalwan (ST)
Nashik,118,Chandwad
Nashik,119,Yevla
Nashik,120,Sinnar
Nashik,121,Niphad
Nashik,122,Dindori (ST)
Nashik,123,Nashik East
Nashik,124,Nashik (Central)
Nashik,125,Nashik  West
Nashik,126,Deolali (SC)
Nashik,127,Igatpuri (ST)
Palghar,128,Dahanu (ST)
Palghar,129,Vekramgrth (ST)
Palghar,130,Palghar (ST)
Palghar,131,Boisar (ST)
Palghar,132,Nalasopara
Palghar,133,Vasai
Thane,134,Bhiwandi Rural (ST)
Thane,135,Shahapur (ST)
Thane,136,Bhiwandi  West
Thane,137,Bhiwandi East
Thane,138,Kalyan  West
Thane,139,Murbad
Thane,140,Ambarnath (SC)
Thane,141,Ulhasnagar
Thane,142,Kalyan East
Thane,143,Dombivali
Thane,144,Kalyan Rural
Thane,145,Meera Bhayandar
Thane,146,Ovala majiwada
Thane,147,Kopri-Pachpakhadi
Thane,148,Thane
Thane,149,Mumbra-Kalwa
Thane,150,Airoli
Thane,151,Belapur
Mumbai Suburban,152,Borivali
Mumbai Suburban,153,Dhaisar
Mumbai Suburban,154,Magathane
Mumbai Suburban,155,Mulund
Mumbai Suburban,156,Vikhroli
Mumbai Suburban,157,Bhandup  West
Mumbai Suburban,158,Jogeshwari East
Mumbai Suburban,159,Dindoshi
Mumbai Suburban,160,Kandivali East
Mumbai Suburban,161,Charkop
Mumbai Suburban,162,Malad  West
Mumbai Suburban,163,Goregaon
Mumbai Suburban,164,Varsova
Mumbai Suburban,165,Andheri  West
Mumbai Suburban,166,Andheri East
Mumbai Suburban,167,Vile Parle
Mumbai Suburban,168,Chandivali
Mumbai Suburban,169,Ghatkopar  West
Mumbai Suburban,170,Ghatkopar East
Mumbai Suburban,171,Mankhurd shivajinagar
Mumbai Suburban,172,Anushakti Nagar
Mumbai Suburban,173,Chembur
Mumbai Suburban,174,Kurla (SC)
Mumbai Suburban,175,Kalina
Mumbai Suburban,176,Vandre East
Mumbai Suburban,177,Vandre  West
Mumbai City,178,Dharavi (SC)
Mumbai City,179,Sion Koliwada
Mumbai City,180,Wadala
Mumbai City,181,Mahim
Mumbai City,182,Worli
Mumbai City,183,Shivadi
Mumbai City,184,Byculla
Mumbai City,185,Malabar Hill
Mumbai City,186,Mumbadevi
Mumbai City,187,Colaba
Raigad,188,Panvel
Raigad,189,Karjat
Raigad,190,Uran
Raigad,191,Pen
Raigad,192,Alibag
Raigad,193,Shrivardhan
Raigad,194,Mahad
Pune,195,Junnar
Pune,196,Ambegaon
Pune,197,Khed Alandi
Pune,198,Shirur
Pune,199,Daund
Pune,200,Indapur
Pune,201,Baramati
Pune,202,Purandar
Pune,203,Bhor
Pune,204,Maval
Pune,205,Chinchwad
Pune,206,Pimpri (SC)
Pune,207,Bhosari
Pune,208,Vadgaon Sheri
Pune,209,Shivajinagar
Pune,210,Kothrud
Pune,211,Khadakwasala
Pune,212,Parvati
Pune,213,Hadapsar
Pune,214,Pune Cantonment (SC)
Pune,215,Kasba Peth
Ahmednagar,216,Akole (ST)
Ahmednagar,217,Sangmner
Ahmednagar,218,Shirdi
Ahmednagar,219,Kopargaon
Ahmednagar,220,Shrirampur (SC)
Ahmednagar,221,Nevasa
Ahmednagar,222,Shevgaon
Ahmednagar,223,Rahuri
Ahmednagar,224,Parner
Ahmednagar,225,Ahmednagar City
Ahmednagar,226,Shrigonda
Ahmednagar,227,Karjat Jamkhed
Beed,228,Georai
Beed,229,Majalgaon
Beed,230,Beed
Beed,231,Ashti
Beed,232,Kaij (SC)
Beed,233,Parli
Latur,234,Latur Rural
Latur,235,Latur City
Latur,236,Ahmedpur
Latur,237,Udgir (SC)
Latur,238,Nilanga
Latur,239,Ausa
Osmanabad,240,Omerga (SC)
Osmanabad,241,Tuljapur
Osmanabad,242,Osmanabad
Osmanabad,243,Paranda
Solapur,244,Karmala
Solapur,245,Madha
Solapur,246,Barshi
Solapur,247,Mohol (SC)
Solapur,248,Solapur City North
Solapur,249,Solapur City Central
Solapur,250,Akkalkot
Solapur,251,Solapur South
Solapur,252,Pandharpur
Solapur,253,Sangola
Solapur,254,Malshiran (SC)
Satara,255,Phaltan (SC)
Satara,256,Wai
Satara,257,Koregaon
Satara,258,Man
Satara,259,Karad North
Satara,260,Karad South
Satara,261,Patan
Satara,262,Satara
Ratnagiri,263,Dapoli
Ratnagiri,264,Guhagar
Ratnagiri,265,Chiplun
Ratnagiri,266,Ratnagiri
Ratnagiri,267,Rajapur
Sindhudurg,268,Kankavli
Sindhudurg,269,Kudal
Sindhudurg,270,Sawantwadi
Kolhapur,271,Chandgad
Kolhapur,272,Radhanagari
Kolhapur,273,kagal
Kolhapur,274,Kolhapur South
Kolhapur,275,Karvir
Kolhapur,276,Kolhapur North
Kolhapur,277,Shahuwadi
Kolhapur,278,Hatkanangle (SC)
Kolhapur,279,Ichalkaranji
Kolhapur,280,Shirol
Sangli,281,Miraj (SC)
Sangli,282,Sangli
Sangli,283,Islampur
Sangli,284,Shirala
Sangli,285,Palus-Kadegaon
Sangli,286,Khanpur
Sangli,287,Tasgaon-Kavathe
Mahankal,288,Jat
