District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EVM Votes,Total Postal ballot votes,Total Votes Polled
Kolhapur,,,RADHANAGARI,272,,1,775,0,7,782,0,,,0,775,775,0,775
Kolhapur,,,RADHANAGARI,272,,2,773,0,3,776,0,,,0,773,773,0,773
Kolhapur,,,RADHANAGARI,272,,3,429,0,1,430,0,,,0,429,429,0,429
Kolhapur,,,RADHANAGARI,272,,4,805,0,5,810,0,,,0,805,805,0,805
Kolhapur,,,RADHANAGARI,272,,5,135,0,2,137,0,,,0,135,135,0,135
Kolhapur,,,RADHANAGARI,272,,6,500,0,8,508,0,,,0,500,500,0,500
Kolhapur,,,RADHANAGARI,272,,7,1037,0,17,1054,0,,,0,1037,1037,0,1037
Kolhapur,,,RADHANAGARI,272,,8,955,0,19,974,0,,,0,955,955,0,955
Kolhapur,,,RADHANAGARI,272,,9,225,0,2,227,0,,,0,225,225,0,225
Kolhapur,,,RADHANAGARI,272,,10,652,0,2,654,0,,,0,652,652,0,652
Kolhapur,,,RADHANAGARI,272,,11,172,0,0,172,0,,,0,172,172,0,172
Kolhapur,,,RADHANAGARI,272,,12,268,0,0,268,0,,,0,268,268,0,268
Kolhapur,,,RADHANAGARI,272,,13,212,0,1,213,0,,,0,212,212,0,212
Kolhapur,,,RADHANAGARI,272,,14,721,0,3,724,0,,,0,721,721,0,721
Kolhapur,,,RADHANAGARI,272,,15,1034,0,6,1040,0,,,0,1034,1034,0,1034
Kolhapur,,,RADHANAGARI,272,,16,369,0,1,370,0,,,0,369,369,0,369
Kolhapur,,,RADHANAGARI,272,,17,87,0,0,87,0,,,0,87,87,0,87
Kolhapur,,,RADHANAGARI,272,,18,215,0,1,216,0,,,0,215,215,0,215
Kolhapur,,,RADHANAGARI,272,,19,60,0,0,60,0,,,0,60,60,0,60
Kolhapur,,,RADHANAGARI,272,,20,482,0,1,483,0,,,0,482,482,0,482
Kolhapur,,,RADHANAGARI,272,,21,447,0,2,449,0,,,0,447,447,0,447
Kolhapur,,,RADHANAGARI,272,,22,661,0,2,663,0,,,0,661,661,0,661
Kolhapur,,,RADHANAGARI,272,,23,486,0,1,487,0,,,0,486,486,0,486
Kolhapur,,,RADHANAGARI,272,,24,126,0,0,126,0,,,0,126,126,0,126
Kolhapur,,,RADHANAGARI,272,,25,205,0,1,206,0,,,0,205,205,0,205
Kolhapur,,,RADHANAGARI,272,,26,218,0,0,218,0,,,0,218,218,0,218
Kolhapur,,,RADHANAGARI,272,,27,962,0,3,965,0,,,0,962,962,0,962
Kolhapur,,,RADHANAGARI,272,,28,946,0,3,949,0,,,0,946,946,0,946
Kolhapur,,,RADHANAGARI,272,,29,433,0,1,434,0,,,0,433,433,0,433
Kolhapur,,,RADHANAGARI,272,,30,461,0,3,464,0,,,0,461,461,0,461
Kolhapur,,,RADHANAGARI,272,,31,873,0,0,873,0,,,0,873,873,0,873
Kolhapur,,,RADHANAGARI,272,,32,816,0,2,818,0,,,0,816,816,0,816
Kolhapur,,,RADHANAGARI,272,,33,693,0,2,695,0,,,0,693,693,0,693
Kolhapur,,,RADHANAGARI,272,,34,487,0,2,489,0,,,0,487,487,0,487
Kolhapur,,,RADHANAGARI,272,,35,740,0,1,741,0,,,0,740,740,0,740
Kolhapur,,,RADHANAGARI,272,,36,368,0,0,368,0,,,0,368,368,0,368
Kolhapur,,,RADHANAGARI,272,,37,909,0,1,910,0,,,0,909,909,0,909
Kolhapur,,,RADHANAGARI,272,,38,755,0,2,757,0,,,0,755,755,0,755
Kolhapur,,,RADHANAGARI,272,,39,765,0,1,766,0,,,0,765,765,0,765
Kolhapur,,,RADHANAGARI,272,,40,739,0,4,743,0,,,0,739,739,0,739
Kolhapur,,,RADHANAGARI,272,,41,974,0,3,977,0,,,0,974,974,0,974
Kolhapur,,,RADHANAGARI,272,,42,824,0,2,826,0,,,0,824,824,0,824
Kolhapur,,,RADHANAGARI,272,,43,761,0,1,762,0,,,0,761,761,0,761
Kolhapur,,,RADHANAGARI,272,,44,786,0,5,791,0,,,0,786,786,0,786
Kolhapur,,,RADHANAGARI,272,,45,601,0,2,603,0,,,0,601,601,0,601
Kolhapur,,,RADHANAGARI,272,,46,525,0,0,525,0,,,0,525,525,0,525
Kolhapur,,,RADHANAGARI,272,,47,1032,0,4,1036,0,,,0,1032,1032,0,1032
Kolhapur,,,RADHANAGARI,272,,48,963,0,9,972,0,,,0,963,963,0,963
Kolhapur,,,RADHANAGARI,272,,49,888,0,3,891,0,,,0,888,888,0,888
Kolhapur,,,RADHANAGARI,272,,50,903,0,3,906,0,,,0,903,903,0,903
Kolhapur,,,RADHANAGARI,272,,51,906,0,1,907,0,,,0,906,906,0,906
Kolhapur,,,RADHANAGARI,272,,52,888,0,1,889,0,,,0,888,888,0,888
Kolhapur,,,RADHANAGARI,272,,53,795,0,1,796,0,,,0,795,795,0,795
Kolhapur,,,RADHANAGARI,272,,54,990,0,4,994,0,,,0,990,990,0,990
Kolhapur,,,RADHANAGARI,272,,55,913,0,3,916,0,,,0,913,913,0,913
Kolhapur,,,RADHANAGARI,272,,56,939,0,5,944,0,,,0,939,939,0,939
Kolhapur,,,RADHANAGARI,272,,57,900,0,1,901,0,,,0,900,900,0,900
Kolhapur,,,RADHANAGARI,272,,58,966,0,4,970,0,,,0,966,966,0,966
Kolhapur,,,RADHANAGARI,272,,59,576,0,1,577,0,,,0,576,576,0,576
Kolhapur,,,RADHANAGARI,272,,60,327,0,1,328,0,,,0,327,327,0,327
Kolhapur,,,RADHANAGARI,272,,61,712,0,3,715,0,,,0,712,712,0,712
Kolhapur,,,RADHANAGARI,272,,62,817,0,3,820,0,,,0,817,817,0,817
Kolhapur,,,RADHANAGARI,272,,63,483,0,2,485,0,,,0,483,483,0,483
Kolhapur,,,RADHANAGARI,272,,64,1023,0,5,1028,0,,,0,1023,1023,0,1023
Kolhapur,,,RADHANAGARI,272,,65,584,0,0,584,0,,,0,584,584,0,584
Kolhapur,,,RADHANAGARI,272,,66,550,0,4,554,0,,,0,550,550,0,550
Kolhapur,,,RADHANAGARI,272,,67,358,0,4,362,0,,,0,358,358,0,358
Kolhapur,,,RADHANAGARI,272,,68,187,0,0,187,0,,,0,187,187,0,187
Kolhapur,,,RADHANAGARI,272,,69,267,0,0,267,0,,,0,267,267,0,267
Kolhapur,,,RADHANAGARI,272,,70,789,0,1,790,0,,,0,789,789,0,789
Kolhapur,,,RADHANAGARI,272,,71,920,0,3,923,0,,,0,920,920,0,920
Kolhapur,,,RADHANAGARI,272,,72,578,0,0,578,0,,,0,578,578,0,578
Kolhapur,,,RADHANAGARI,272,,73,688,0,1,689,0,,,0,688,688,0,688
Kolhapur,,,RADHANAGARI,272,,74,581,0,0,581,0,,,0,581,581,0,581
Kolhapur,,,RADHANAGARI,272,,75,393,0,1,394,0,,,0,393,393,0,393
Kolhapur,,,RADHANAGARI,272,,76,128,0,0,128,0,,,0,128,128,0,128
Kolhapur,,,RADHANAGARI,272,,77,391,0,1,392,0,,,0,391,391,0,391
Kolhapur,,,RADHANAGARI,272,,78,397,0,0,397,0,,,0,397,397,0,397
Kolhapur,,,RADHANAGARI,272,,79,113,0,0,113,0,,,0,113,113,0,113
Kolhapur,,,RADHANAGARI,272,,80,455,0,3,458,0,,,0,455,455,0,455
Kolhapur,,,RADHANAGARI,272,,81,683,0,1,684,0,,,0,683,683,0,683
Kolhapur,,,RADHANAGARI,272,,82,728,0,1,729,0,,,0,728,728,0,728
Kolhapur,,,RADHANAGARI,272,,83,128,0,0,128,0,,,0,128,128,0,128
Kolhapur,,,RADHANAGARI,272,,84,814,0,1,815,0,,,0,814,814,0,814
Kolhapur,,,RADHANAGARI,272,,85,998,0,2,1000,0,,,0,998,998,0,998
Kolhapur,,,RADHANAGARI,272,,86,986,0,1,987,0,,,0,986,986,0,986
Kolhapur,,,RADHANAGARI,272,,87,344,0,1,345,0,,,0,344,344,0,344
Kolhapur,,,RADHANAGARI,272,,88,730,0,1,731,0,,,0,730,730,0,730
Kolhapur,,,RADHANAGARI,272,,89,446,0,0,446,0,,,0,446,446,0,446
Kolhapur,,,RADHANAGARI,272,,90,887,0,4,891,0,,,0,887,887,0,887
Kolhapur,,,RADHANAGARI,272,,91,944,0,4,948,0,,,0,944,944,0,944
Kolhapur,,,RADHANAGARI,272,,92,819,0,1,820,0,,,0,819,819,0,819
Kolhapur,,,RADHANAGARI,272,,93,1043,0,5,1048,0,,,0,1043,1043,0,1043
Kolhapur,,,RADHANAGARI,272,,94,1086,0,4,1090,0,,,0,1086,1086,0,1086
Kolhapur,,,RADHANAGARI,272,,95,868,0,1,869,0,,,0,868,868,0,868
Kolhapur,,,RADHANAGARI,272,,96,670,0,1,671,0,,,0,670,670,0,670
Kolhapur,,,RADHANAGARI,272,,97,707,0,5,712,0,,,0,707,707,0,707
Kolhapur,,,RADHANAGARI,272,,98,950,0,2,952,0,,,0,950,950,0,950
Kolhapur,,,RADHANAGARI,272,,99,689,0,1,690,0,,,0,689,689,0,689
Kolhapur,,,RADHANAGARI,272,,100,871,0,6,877,0,,,0,871,871,0,871
Kolhapur,,,RADHANAGARI,272,,101,751,0,7,758,0,,,0,751,751,0,751
Kolhapur,,,RADHANAGARI,272,,102,273,0,2,275,0,,,0,273,273,0,273
Kolhapur,,,RADHANAGARI,272,,103,122,0,0,122,0,,,0,122,122,0,122
Kolhapur,,,RADHANAGARI,272,,104,468,0,2,470,0,,,0,468,468,0,468
Kolhapur,,,RADHANAGARI,272,,105,947,0,3,950,0,,,0,947,947,0,947
Kolhapur,,,RADHANAGARI,272,,106,1032,0,0,1032,0,,,0,1032,1032,0,1032
Kolhapur,,,RADHANAGARI,272,,107,869,0,1,870,0,,,0,869,869,0,869
Kolhapur,,,RADHANAGARI,272,,108,395,0,0,395,0,,,0,395,395,0,395
Kolhapur,,,RADHANAGARI,272,,109,996,0,3,999,0,,,0,996,996,0,996
Kolhapur,,,RADHANAGARI,272,,110,1020,0,3,1023,0,,,0,1020,1020,0,1020
Kolhapur,,,RADHANAGARI,272,,111,1019,0,3,1022,0,,,0,1019,1019,0,1019
Kolhapur,,,RADHANAGARI,272,,112,713,0,0,713,0,,,0,713,713,0,713
Kolhapur,,,RADHANAGARI,272,,113,603,0,0,603,0,,,0,603,603,0,603
Kolhapur,,,RADHANAGARI,272,,114,761,0,2,763,0,,,0,761,761,0,761
Kolhapur,,,RADHANAGARI,272,,115,933,0,1,934,0,,,0,933,933,0,933
Kolhapur,,,RADHANAGARI,272,,116,620,0,5,625,0,,,0,620,620,0,620
Kolhapur,,,RADHANAGARI,272,,117,524,0,1,525,0,,,0,524,524,0,524
Kolhapur,,,RADHANAGARI,272,,118,617,0,2,619,0,,,0,617,617,0,617
Kolhapur,,,RADHANAGARI,272,,119,611,0,0,611,0,,,0,611,611,0,611
Kolhapur,,,RADHANAGARI,272,,120,663,0,0,663,0,,,0,663,663,0,663
Kolhapur,,,RADHANAGARI,272,,121,225,0,2,227,0,,,0,225,225,0,225
Kolhapur,,,RADHANAGARI,272,,122,646,0,1,647,0,,,0,646,646,0,646
Kolhapur,,,RADHANAGARI,272,,123,250,0,0,250,0,,,0,250,250,0,250
Kolhapur,,,RADHANAGARI,272,,124,551,0,1,552,0,,,0,551,551,0,551
Kolhapur,,,RADHANAGARI,272,,125,819,0,1,820,0,,,0,819,819,0,819
Kolhapur,,,RADHANAGARI,272,,126,437,0,0,437,0,,,0,437,437,0,437
Kolhapur,,,RADHANAGARI,272,,127,483,0,1,484,0,,,0,483,483,0,483
Kolhapur,,,RADHANAGARI,272,,128,549,0,1,550,0,,,0,549,549,0,549
Kolhapur,,,RADHANAGARI,272,,129,972,0,4,976,0,,,0,972,972,0,972
Kolhapur,,,RADHANAGARI,272,,130,910,0,4,914,0,,,0,910,910,0,910
Kolhapur,,,RADHANAGARI,272,,131,516,0,0,516,0,,,0,516,516,0,516
Kolhapur,,,RADHANAGARI,272,,132,696,0,1,697,0,,,0,696,696,0,696
Kolhapur,,,RADHANAGARI,272,,133,894,0,3,897,0,,,0,894,894,0,894
Kolhapur,,,RADHANAGARI,272,,134,354,0,1,355,0,,,0,354,354,0,354
Kolhapur,,,RADHANAGARI,272,,135,516,0,0,516,0,,,0,516,516,0,516
Kolhapur,,,RADHANAGARI,272,,136,701,0,2,703,0,,,0,701,701,0,701
Kolhapur,,,RADHANAGARI,272,,137,647,0,0,647,0,,,0,647,647,0,647
Kolhapur,,,RADHANAGARI,272,,138,1031,0,0,1031,0,,,0,1031,1031,0,1031
Kolhapur,,,RADHANAGARI,272,,139,960,0,1,961,0,,,0,960,960,0,960
Kolhapur,,,RADHANAGARI,272,,140,851,0,1,852,0,,,0,851,851,0,851
Kolhapur,,,RADHANAGARI,272,,141,877,0,5,882,0,,,0,877,877,0,877
Kolhapur,,,RADHANAGARI,272,,142,690,0,1,691,0,,,0,690,690,0,690
Kolhapur,,,RADHANAGARI,272,,143,1084,0,6,1090,0,,,0,1084,1084,0,1084
Kolhapur,,,RADHANAGARI,272,,144,818,0,3,821,0,,,0,818,818,0,818
Kolhapur,,,RADHANAGARI,272,,145,946,0,1,947,0,,,0,946,946,0,946
Kolhapur,,,RADHANAGARI,272,,146,787,0,1,788,0,,,0,787,787,0,787
Kolhapur,,,RADHANAGARI,272,,147,636,0,1,637,0,,,0,636,636,0,636
Kolhapur,,,RADHANAGARI,272,,148,942,0,4,946,0,,,0,942,942,0,942
Kolhapur,,,RADHANAGARI,272,,149,801,0,5,806,0,,,0,801,801,0,801
Kolhapur,,,RADHANAGARI,272,,150,1018,0,0,1018,0,,,0,1018,1018,0,1018
Kolhapur,,,RADHANAGARI,272,,151,986,0,1,987,0,,,0,986,986,0,986
Kolhapur,,,RADHANAGARI,272,,152,704,0,5,709,0,,,0,704,704,0,704
Kolhapur,,,RADHANAGARI,272,,153,406,0,2,408,0,,,0,406,406,0,406
Kolhapur,,,RADHANAGARI,272,,154,1120,0,5,1125,0,,,0,1120,1120,0,1120
Kolhapur,,,RADHANAGARI,272,,155,487,0,1,488,0,,,0,487,487,0,487
Kolhapur,,,RADHANAGARI,272,,156,88,0,1,89,0,,,0,88,88,0,88
Kolhapur,,,RADHANAGARI,272,,157,163,0,1,164,0,,,0,163,163,0,163
Kolhapur,,,RADHANAGARI,272,,158,258,0,4,262,0,,,0,258,258,0,258
Kolhapur,,,RADHANAGARI,272,,159,305,0,0,305,0,,,0,305,305,0,305
Kolhapur,,,RADHANAGARI,272,,160,689,0,9,698,0,,,0,689,689,0,689
Kolhapur,,,RADHANAGARI,272,,161,465,0,0,465,0,,,0,465,465,0,465
Kolhapur,,,RADHANAGARI,272,,162,561,0,2,563,0,,,0,561,561,0,561
Kolhapur,,,RADHANAGARI,272,,163,475,0,8,483,0,,,0,475,475,0,475
Kolhapur,,,RADHANAGARI,272,,164,73,0,1,74,0,,,0,73,73,0,73
Kolhapur,,,RADHANAGARI,272,,165,835,0,2,837,0,,,0,835,835,0,835
Kolhapur,,,RADHANAGARI,272,,166,853,0,5,858,0,,,0,853,853,0,853
Kolhapur,,,RADHANAGARI,272,,167,518,0,0,518,0,,,0,518,518,0,518
Kolhapur,,,RADHANAGARI,272,,168,848,0,3,851,0,,,0,848,848,0,848
Kolhapur,,,RADHANAGARI,272,,169,972,0,2,974,0,,,0,972,972,0,972
Kolhapur,,,RADHANAGARI,272,,170,728,0,3,731,0,,,0,728,728,0,728
Kolhapur,,,RADHANAGARI,272,,171,709,0,5,714,0,,,0,709,709,0,709
Kolhapur,,,RADHANAGARI,272,,172,828,0,3,831,0,,,0,828,828,0,828
Kolhapur,,,RADHANAGARI,272,,173,509,0,6,515,0,,,0,509,509,0,509
Kolhapur,,,RADHANAGARI,272,,174,626,0,1,627,0,,,0,626,626,0,626
Kolhapur,,,RADHANAGARI,272,,175,855,0,4,859,0,,,0,855,855,0,855
Kolhapur,,,RADHANAGARI,272,,176,873,0,4,877,0,,,0,873,873,0,873
Kolhapur,,,RADHANAGARI,272,,177,980,0,0,980,0,,,0,980,980,0,980
Kolhapur,,,RADHANAGARI,272,,178,918,0,3,921,0,,,0,918,918,0,918
Kolhapur,,,RADHANAGARI,272,,179,857,0,2,859,0,,,0,857,857,0,857
Kolhapur,,,RADHANAGARI,272,,180,854,0,1,855,0,,,0,854,854,0,854
Kolhapur,,,RADHANAGARI,272,,181,1001,0,3,1004,0,,,0,1001,1001,0,1001
Kolhapur,,,RADHANAGARI,272,,182,872,0,0,872,0,,,0,872,872,0,872
Kolhapur,,,RADHANAGARI,272,,183,1035,0,3,1038,0,,,0,1035,1035,0,1035
Kolhapur,,,RADHANAGARI,272,,184,911,0,2,913,0,,,0,911,911,0,911
Kolhapur,,,RADHANAGARI,272,,185,620,0,2,622,0,,,0,620,620,0,620
Kolhapur,,,RADHANAGARI,272,,186,645,0,1,646,0,,,0,645,645,0,645
Kolhapur,,,RADHANAGARI,272,,187,858,0,3,861,0,,,0,858,858,0,858
Kolhapur,,,RADHANAGARI,272,,188,939,0,2,941,0,,,0,939,939,0,939
Kolhapur,,,RADHANAGARI,272,,189,1070,0,3,1073,0,,,0,1070,1070,0,1070
Kolhapur,,,RADHANAGARI,272,,190,785,0,0,785,0,,,0,785,785,0,785
Kolhapur,,,RADHANAGARI,272,,191,636,0,3,639,0,,,0,636,636,0,636
Kolhapur,,,RADHANAGARI,272,,192,1025,0,3,1028,0,,,0,1025,1025,0,1025
Kolhapur,,,RADHANAGARI,272,,193,855,0,3,858,0,,,0,855,855,0,855
Kolhapur,,,RADHANAGARI,272,,194,918,0,1,919,0,,,0,918,918,0,918
Kolhapur,,,RADHANAGARI,272,,195,783,0,4,787,0,,,0,783,783,0,783
Kolhapur,,,RADHANAGARI,272,,196,752,0,7,759,0,,,0,752,752,0,752
Kolhapur,,,RADHANAGARI,272,,197,642,0,0,642,0,,,0,642,642,0,642
Kolhapur,,,RADHANAGARI,272,,198,700,0,2,702,0,,,0,700,700,0,700
Kolhapur,,,RADHANAGARI,272,,199,994,0,4,998,0,,,0,994,994,0,994
Kolhapur,,,RADHANAGARI,272,,200,517,0,3,520,0,,,0,517,517,0,517
Kolhapur,,,RADHANAGARI,272,,201,176,0,0,176,0,,,0,176,176,0,176
Kolhapur,,,RADHANAGARI,272,,202,357,0,0,357,0,,,0,357,357,0,357
Kolhapur,,,RADHANAGARI,272,,203,336,0,0,336,0,,,0,336,336,0,336
Kolhapur,,,RADHANAGARI,272,,204,866,0,1,867,0,,,0,866,866,0,866
Kolhapur,,,RADHANAGARI,272,,205,154,0,0,154,0,,,0,154,154,0,154
